,Hotel Name,Author,Country,Review
1,The Funny Lion - Coron,Carlos, Qatar,"Liked · The room is really nice, the staff amazing"
2,The Funny Lion - Coron,Francesca, United Kingdom,"Liked · The staff were the most incredibly wonderful people I ever had the pleasure to meet. It was my last night in Coron and actually my birthday. They realised and gave me the most gorgeous birthday celebration. The staff go above and beyond and such an asset to the hotel.
The room was so comfy, had everything I needed. I hadn’t realised breakfast was included so missed it before my transfer. The restaurant made me up a box of breakfast to take with me. I was so grateful.
A gem in a colourful fun town! Would thoroughly recommend."
3,The Funny Lion - Coron,Mary, Philippines,Liked · I love the vibe of the hotel being private and feel like you are in a forest. The complimentary goods and drinks are also very good. The staff are hospitable and keen with the guest's needs.
4,The Funny Lion - Coron,Laura, Australia,"Liked · Wow… this place was something else that I have never experienced before! There was so many little touches that made their service amazing - from the evening cookies, handling all baggage, organising washing and tours and complimentary gifts. The staff were extremely friendly, helpful and accomodating. The rooms and pools were so clean and lovely too - they decorated our honeymoon bed so fancy! We will definitely be back!

Disliked · If we had to pick on one thing, their lunch/dinner restaurant service was a little bit slow and some menu items were hit and miss. The breakfast was great though."
5,The Funny Lion - Coron,Bahr, Israel,Liked · Everything was wow!!
6,The Funny Lion - Coron,Enes, Netherlands,Liked · Amazing staff who really care about you and help you in any way possible. We had a savanna room which was new and big. Very comfortable stay.
7,The Funny Lion - Coron,Ryan, United States of America,"Liked · Staff was old the charts excellent, helpful, and welcoming. Nice property.

Disliked · Wi-Fi was very spotty. I think that might be par for the course in the area though."
8,The Funny Lion - Coron,Roy, Netherlands,"Liked · The staff is very friendly. The hotel is very clean and feels very professional. The food is not that expensive and tastes amazing. The rooms are nice and clean and you get a lot of free things.

Disliked · Room 203 has a ac that makes an awful sound. It’s also next to a storage room that they get stuff in during the night. Maybe change the ac of room 203*"
9,The Funny Lion - Coron,Calvin, Philippines,"Liked · Breakfast was great, staff has initiative and was really friendly. The room was better than we expected."
10,The Funny Lion - Coron,Fretzie, Switzerland,"Liked · The goodies and the excellent service

Disliked · They didn’t response back when I messaged them regarding pick up and drop off. I think they are not active in this app that much than in trip advisor."
11,The Funny Lion - Coron,Glenncurwen, Australia,"Liked · Fantastic stay at the funny lion,had room near a more private pool area,Maya room, excellently fitted out room, luxurious bed and bedding,pool great, breakfast good, location good easy access to shop and transport outside on road, rooftop bar and restaurant with view,the staff superb and attentive to your needs,customer service is amazing,on arrival in room gifts laying on bed, free afternoon snacks at the restaurant,daily treat brought to your room and refrigerator restocked free, souvenir bracelet on departure,tours organised at reception a must see and do especially twin lagoon, kayangan Lake, barracuda lake etc tour all day with delicious lunch, enjoy"
12,The Funny Lion - Coron,Radhika, United States of America,"Liked · Nice relaxed vibe, resort staff is very friendly and attentive. We spent some days on tours and other days just enjoying the resort."
13,The Funny Lion - Coron,Laurabeltran30, Spain,"Liked · The architectural modern style, the decoration, very quiet and relax, very nice staff and great quality food. Amazing view from the rooftop with jacuzzi..."
14,The Funny Lion - Coron,Ionut, Romania,"Liked · Everything was excellent. I recommend it with all my heart. From the helpful staff and cleanliness of the room and the service , all was amazing. Don t forget to try their signatures cocktail on the happy hours, they were very good."
15,The Funny Lion - Coron,Barrientos-knapp, United States of America,"Liked · The Funny Lion was a last minute booking when our El Nido flights got cancelled. So we came to Coron four days earlier than we planned. This was literally booked one day in advance. And we lucked out. What we loved especially was the hospitality! The staff was EXCEPTIONAL. Jen at the front desk was super lovely and helpful to us. This place is geared toward adults, but even our kids (15, 8) loved it here. They agree that the staff was wonderful! Everyday they gave complimentary snacks in the afternoon. And complimentary juices and fruit. Large refillable water bottles as well. Our kids got the “Cub” room that can sleep three, overlooking the more shallow pool (with jacuzzi) My husband and I got the Mara room which is next to their deeper pool in a more quiet spot of the hotel. It was the best room, so relaxing. Good wifi!! Very clean. Rooftop bar with two jacuzzis! Saturdays they have a buffet dinner with a lovely band. We cannot say enough great things about this place."
16,The Funny Lion - Coron,Aldridge, United Kingdom,"Liked · The staff were wonderful people who really took care of us. There were so many small touches that all added up to make such a difference - the offer to take our bags, the complimentary water and snacks by the pool, complimentary drinks on rainy days, engagement from staff, recommendations on activities or places, and so much more! The food in the restaurant was delicious and good value for money. The Massages were excellent. I could go on.

Disliked · We had 2 vegetarians in our group, who struggled to find very much that was suitable to them which was unfortunate"
17,The Funny Lion - Coron,Lutchie, United Kingdom,"Liked · Staff

Disliked · Food at the restaurant is expensive. Recommend eating outside."
18,The Funny Lion - Coron,Juliet, United Kingdom,"Liked · The Funny Lion was a warm and welcoming oasis just outside the hustle and bustle of Coron town. The staff were incredibly helpful and went above and beyond assisting us with your bookings and transfers. We felt very valued here. We also loved the live music evening and made frequent trips to the spa for massages which were the best we’ve ever had.

Disliked · We really enjoyed the food at The Funny Lion but we didn’t like the taste of the oil used for deep drying - it gave the fries a coconut flavour."
19,The Funny Lion - Coron,Peter, United States of America,"Liked · Wonderful property with the highlight being the staff - shout outs to Ian and Chris Kim and Jay! My wife and I stayed here for a week and couldn’t get the entire week off work so we had a bit of a workcation and the first room we were in didn’t have the best internet (the speeds were fine but not very stable) and they were kind enough to upgrade us to a villa and we had great internet/wifi connection the rest of our stay! So if you need to work during your stay, you should opt to pay for villa
The breakfast was included each morning and was a great buffet style that alternated each day and everything was pretty delicious. I enjoyed the coffee a lot which I think was a local brew. The roof top bar had great pizza and a beautiful view with two jacuzzis to relax in - the drinks were also fantastic and all the cocktails were tasty, and the bartender knew what I meant when I asked for less sweet, they delivered (no pun!) Speak of, room service from the restaurant was very good and I enjoyed the burger a lot.
Would definitely stay here again if/when we’re back in Coron!

Disliked · Not many complaints - the wifi was challenging at first but the staff was so accommodating and wonderful to upgrade us to a villa to have a better connection. We did have to ask a few time for certain housekeeping requests - like our sheets changed rather than made over but very minor inconveniences in an overall wonderful stay."
