,Hotel Name,Author,Country,Review
1,Hue Hotels and Resorts Puerto Princesa Managed by HII,Emmelina, Luxembourg,Liked · great hosts and excellent customer service
2,Hue Hotels and Resorts Puerto Princesa Managed by HII,Sharon, Ireland,Liked · Great food and drink in the rooftop bar. Very close to all attractions. There's a big shopping mall next door with supermarket etc which was convenient. Very clean and modern
3,Hue Hotels and Resorts Puerto Princesa Managed by HII,Andrew, United States of America,"Liked · Great

Disliked · The cash deposit for extras"
4,Hue Hotels and Resorts Puerto Princesa Managed by HII,Scully, United States of America,"Liked · Breakfast was great, I felt at home."
5,Hue Hotels and Resorts Puerto Princesa Managed by HII,Svetlana, Philippines,Liked · All was GREAT!
6,Hue Hotels and Resorts Puerto Princesa Managed by HII,Morgan, Ireland,"Liked · Great staff, lovely pool area, comfy bed.

Disliked · More free water in the room"
7,Hue Hotels and Resorts Puerto Princesa Managed by HII,Doug, United States of America,Liked · Restaurant was excellent. Staff were helpful. Pool area was nice. Shopping center next door.
8,Hue Hotels and Resorts Puerto Princesa Managed by HII,Jesse, United States of America,"Liked · Location is very convenient, close to the airport and shopping malls . Though it’s on a major street, it’s quiet . Breakfast selection is very good as well."
9,Hue Hotels and Resorts Puerto Princesa Managed by HII,Trent, Philippines,Disliked · Operation hours
10,Hue Hotels and Resorts Puerto Princesa Managed by HII,Glenn, United Arab Emirates,"Liked · Very convenient, close to Robinsons mall.
Very clean and welcoming.
Not crowded area
Sumptuous meals
Very accommodating/welcoming front desk (Regine and Mels)

Disliked · - pool has big insects (banggaw)
- misleading information provided from a particular receptionist (200-250php tricycle fare)
- inconsiderate Manager-in-Charge. This was when we requested for a short side trip (4mins. from hotel) before going to the airport.
"
11,Hue Hotels and Resorts Puerto Princesa Managed by HII,, United States of America,"Liked · Excellent hotel! Modern, clean, comfortable room and bed, nice rooftop pool with bar and spa, delicious buffet breakfast, helpful staff. Being able to book the underground river tour through the hotel was very convenient. I loved that Robinsons mall is right next door. We were able to walk there after breakfast. Also very close to the airport. It took less than 15 minutes by car to get to the airport.

Disliked · Mildew on the shower walls should be removed"
12,Hue Hotels and Resorts Puerto Princesa Managed by HII,Alrugheeb, Kuwait,Liked · Wonderful place and nice view and friendly staff
13,Hue Hotels and Resorts Puerto Princesa Managed by HII,Suliman, Saudi Arabia,Liked · Everything
14,Hue Hotels and Resorts Puerto Princesa Managed by HII,Alyssa, United States of America,"Liked · Loved the staff, very helpful and accommodating"
15,Hue Hotels and Resorts Puerto Princesa Managed by HII,John, New Zealand,"Liked · Nice Hotel
Nice restaurant
next to Mall"
16,Hue Hotels and Resorts Puerto Princesa Managed by HII,May, Ireland,"Liked · Everything about
the hotel. Rooms cleanliness staff couldn't fault them. Highly recommended."
17,Hue Hotels and Resorts Puerto Princesa Managed by HII,Edwin, Philippines,"Liked · It’s relatively new, has a fresh design and interior. I loved the rooftop pool."
18,Hue Hotels and Resorts Puerto Princesa Managed by HII,Vivian, Hong Kong,"Liked · The staff were very kind, helpful, and accommodating. The hotel bed was comfortable and the room size was decent. The interior decor is simple and comfortable."
19,Hue Hotels and Resorts Puerto Princesa Managed by HII,Nada, United Arab Emirates,"Liked · It’s clean , very well equipped, sheets and towel where clean and smells nice .
A/C was amazing.

Disliked · Good selection for breakfast was not international should add more options."
20,Hue Hotels and Resorts Puerto Princesa Managed by HII,Constatino, Philippines,"Liked · Perferct Breakfast, Nice and spacious room, nice pool"
