Hotel Name,Address,Barangay,City / Town,Province,Amenities, Price Range ,Available Rooms,Other Data,Reviews,Author,Country,Review
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Eric, France,"Liked Â· Dear Cauayan Resort in El Nido, Palawan,
We want to express our deep gratitude for the warm welcome and exceptional kindness of the staff during our stay. Your hospitality truly made our experience, making our stay unforgettable.
The island itself is a true paradise. The natural beauty surrounding us was breathtaking, leaving us in awe of the splendor of every sunrise and sunset. Every corner of the island seemed to be painted by natureÂs hand.
The dining experience was a memorable culinary journey. The international variety and freshness of the produce delighted our taste buds at every meal. Each dish was a delight that reflected authenticity and care in the cuisine.
We look forward to returning to this piece of paradise and reliving these precious moments. Thank you for everything you did to make our stay unforgettable."
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Keith, Philippines,"Liked Â· all meals were 5 star and it catered for all my requirements.
a larger variety to choose from.
Food was freshly prepared for every meal.

Disliked Â· there was nothing I did not like."
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Anees, Israel,"Liked Â· Apart from the breathtaking views and the amazing facilities, the staff was just beyond helpful and kind. I have never seen anything like it. I will definitely come back.

Disliked Â· The typhoon, but I guess that was just bad luck (and planning), but even with that we still enjoyed our stay and got few sunny days at the end."
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Naser, Kuwait,Liked Â· Great stay
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Laurina, United States of America,"Liked Â· Staff and facilities

Disliked Â· The Airconditioner in our room was not efficient."
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,William, Australia,"Liked Â· We stayed at the sunrise villa and it was magnificent. Spacious, luxurious with the best view on the island.
Everywhere you look on the island is beautiful. Quiet and peaceful relaxing stay.
Staff were attentive and service was always with a smile.
Our flight was delayed and then couldn't land due to weather. We were so happy to have staff waiting for us when we eventually landed."
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Suhail, United States of America,Liked Â· most gorgeous resort with amazing people! this should be on everyoneÂs bucket list. better than Bora Bora and Maldives
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Marco, Philippines,"Liked Â· the place is a gem, through and through.

Disliked Â· needs to add more spicy dishes."
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Angelita, United States of America,"Liked Â· The property at Cauayan was absolutely stunning. The facilities were pristine and the staff was so kind and helpful throughout my entire stay.

Disliked Â· The food/drinks were overpriced in my opinion."
Cauayan Island Resort and Spa (El Nido),"Cauayan Island, Bacuit Bay, Palawan, 5313 El Nido, Philippines",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Airport shuttle
Non-smoking rooms
Room service
Fitness center
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast","35,530.00",29,"Land and boat transfers
With Own Pier
Solar Powered",149,Ricardo, United Arab Emirates,"Liked Â· Everything, the resort is stunning, the Island is beautiful and super close to the port and the staff super friendly and helpful, will definitely come back"
