Hotel Name,Author,Country,Review
Cauayan Island Resort and Spa (El Nido),Eric, France,"Liked · Dear Cauayan Resort in El Nido, Palawan,
We want to express our deep gratitude for the warm welcome and exceptional kindness of the staff during our stay. Your hospitality truly made our experience, making our stay unforgettable.
The island itself is a true paradise. The natural beauty surrounding us was breathtaking, leaving us in awe of the splendor of every sunrise and sunset. Every corner of the island seemed to be painted by natures hand.
The dining experience was a memorable culinary journey. The international variety and freshness of the produce delighted our taste buds at every meal. Each dish was a delight that reflected authenticity and care in the cuisine.
We look forward to returning to this piece of paradise and reliving these precious moments. Thank you for everything you did to make our stay unforgettable."
Cauayan Island Resort and Spa (El Nido),Keith, Philippines,"Liked · all meals were 5 star and it catered for all my requirements.
a larger variety to choose from.
Food was freshly prepared for every meal.

Disliked · there was nothing I did not like."
Cauayan Island Resort and Spa (El Nido),Anees, Israel,"Liked · Apart from the breathtaking views and the amazing facilities, the staff was just beyond helpful and kind. I have never seen anything like it. I will definitely come back.

Disliked · The typhoon, but I guess that was just bad luck (and planning), but even with that we still enjoyed our stay and got few sunny days at the end."
Cauayan Island Resort and Spa (El Nido),Naser, Kuwait,Liked · Great stay
Cauayan Island Resort and Spa (El Nido),Laurina, United States of America,"Liked · Staff and facilities

Disliked · The Airconditioner in our room was not efficient."
Cauayan Island Resort and Spa (El Nido),William, Australia,"Liked · We stayed at the sunrise villa and it was magnificent. Spacious, luxurious with the best view on the island.
Everywhere you look on the island is beautiful. Quiet and peaceful relaxing stay.
Staff were attentive and service was always with a smile.
Our flight was delayed and then couldn't land due to weather. We were so happy to have staff waiting for us when we eventually landed."
Cauayan Island Resort and Spa (El Nido),Suhail, United States of America,Liked · most gorgeous resort with amazing people! this should be on everyones bucket list. better than Bora Bora and Maldives
Cauayan Island Resort and Spa (El Nido),Marco, Philippines,"Liked · the place is a gem, through and through.

Disliked · needs to add more spicy dishes."
Cauayan Island Resort and Spa (El Nido),Angelita, United States of America,"Liked · The property at Cauayan was absolutely stunning. The facilities were pristine and the staff was so kind and helpful throughout my entire stay.

Disliked · The food/drinks were overpriced in my opinion."
Cauayan Island Resort and Spa (El Nido),Ricardo, United Arab Emirates,"Liked · Everything, the resort is stunning, the Island is beautiful and super close to the port and the staff super friendly and helpful, will definitely come back"
Cauayan Island Resort and Spa (El Nido),Melanie, Switzerland,Liked · This resort is absolutely perfect! Amazing beach and villas. Awesome food and the best service! We would always come back here to this hidden paradise.
Cauayan Island Resort and Spa (El Nido),Aurelia, United Kingdom,"Liked · Absolutely gorgeous resort that deserves all its stars and more. From booking to departure, the service is top notch and they are very responsive. The setting of the island is gorgeous and the villas are beautiful. The atmosphere across the resort is very relaxed and luxurious. The food is delicious."
Cauayan Island Resort and Spa (El Nido),Benjamin, Chile,"Liked · Incredible place, staff, service. everything.

Disliked · the quality of the ice in the bar. i was upset everytime i ask something to drink since i knew it was melting in less than 4 minutes."
Cauayan Island Resort and Spa (El Nido),Rosario, United States of America,"Liked · The service, food and location is superb. Highly recommended."
