Restaurant Name,Author,Review
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Natalie Murray,"The best food I've had in a long time. Owner and family are very friendly and attentive. You HAVE to eat here if you're in Sabang. As you can see from our plates essentially liked clean, the food was amazing. Vegetarian options: Vegan and veg options Kid-friendliness: Family establishment Service: Dine in Meal type: Dinner Price per person: ?400–600 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Curry, Aloo Gobi Masala"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Travis M.,Great food but all things considered it's overpriced. Took a long time to receive our food. Very small portions. No AC or breeze. Food is very good though... Food: 4 Service: 3 Atmosphere: 1
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Oli Barrett,"Pricey for the area but you get what you pay for, excellent food. Only issue is it was too small"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Agnes Granberg,The place was before located at the beach and are now just a quick walk from the beach. Amazing food and the people who run the place are so nice!! You need to come here if you are in the area!!! You can’t go here and miss eating at the restaurant! Vegetarian options: We chose the vegetarian tom yum soup and the pad thai. It was the best pad thai we had eaten! Service: Dine in Meal type: Dinner Price per person: ?400–600
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Emma Ahlbäck,"A really good place to eat. They have a lot of options. Food is affordable and the quality is incredible. The chef runs the restaurant on his own and is super kind! I would definitely go back. It is so close to the place we are staying, Cafe Sabang Guest House. Service: Dine in Meal type: Dinner Price per person: ?400–600 Food: 5 Service: 5 Atmosphere: 5"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Frank Beja,Wow Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",mitchell m,Food is fantastic! Fresh vegetables either Thai or India style. Her place on the beach was destroyed but the new place is still a work in progress. Definitely a great place to eat. Many items on the menu. Parking: Park on the quiet street. Easy. Service: Dine in Meal type: Dinner Price per person: ?200–400 Food: 5 Service: 5 Atmosphere: 4
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Iris Poria,
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Carlo Reyes,The food is very delicious Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Pat Apon,Nice and good place and food! Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Tayla Whitehorn,"Most comfortable welcoming restaurant! Adonis is such a talented chef! He puts so much love into the menu and treated me like family! We got to chat for a long time which was so nice, I can’t thank Adonis and the family enough for their time and kindness, and delicious food"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Gina Villalobos,For a delicious Asian food visit Asiano gourmet cuisine Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Camille Credo,perfect and delicious foods
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",,"Foods are great. They are accepting deliveries and more. Can also be a place for some occasion. Accomodqting location for family and travellers. Service: Delivery Meal type: Lunch Price per person: ?1,400–1,600"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Tessa Taylor,Vegetarian options: Tofu! Service: Dine in Meal type: Lunch Food: 5 Service: 5 Atmosphere: 4
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Roqueta Gabiana,
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Master LM Navarro,"Good food and service. Recommended and highly suggested for dates and impromptu meet ups Service: Dine in Meal type: Lunch Price per person: ?600–800 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Curry, Grilled Lapu Lapu, Moroccan Vegetable Stew"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Myca De Silva,
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Hana Wilson,"The chef runs the kitchen and service all himself. He's super friendly, the food is affordable and the quality is incredible. Great vegetarian options and while I'm not usually a banana shake fan, this one I adored. If you're in Sabang, highly recommend you pay this place a visit. Service: Dine in Meal type: Lunch Food: 5 Service: 5 Atmosphere: 4 Recommended dishes: Aloo Gobi Masala"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",clemente jr aguinaldo,"Lovely food and owner! We will be back for sure. Best, Anja and Lennart"
