Restaurant Name,Author,Review
Kalui Seafood Restaurant,Hans Suarez,Food is ok. Setting of the restaurant suits the simplistic life that it reflects mainly as a seafood restaurant
Kalui Seafood Restaurant,JAM P,"We are here about 10 years ago and again about 6 years ago. The first time it was an 8/10 second time 6/10 but this time 9/10. The food was really exceptionally good. We had tuna sashimi for starters. Very fresh with Japanese soy sauce and wasabi. Martin courses were blue marlin, prawn skewers and seafood sisig. The were presented beautifully and tasted even better. Service was great and the atmosphere wonderful. Not cheap but great value. Highly recommend."
Kalui Seafood Restaurant,Glenn Tan,"It was our last night in Puerto Princesa and we tried this restaurant out of curiosity when we pass by. We ordered lato salad, tuna and prawn sinigang, sizzling squid, shrimps in garlic butter, whole coconut and mango shake. Fast service, great atmosphere and awesome foods and drinks. The seafood is very fresh! It was the best food we ate in Philippines by far~ If I come back to Puerto Princesa, will definitely visit again!"
Kalui Seafood Restaurant,She Christie,"It was our last night in Puerto Princesa and we tried this restaurant out of curiosity when we pass by. We ordered lato salad, tuna and prawn sinigang, sizzling squid, shrimps in garlic butter, whole coconut and mango shake. Fast service, great atmosphere and awesome foods and drinks. The seafood is very fresh! It was the best food we ate in Philippines by far~ If I come back to Puerto Princesa, will definitely visit again!"
Kalui Seafood Restaurant,Sheila Galing,Excellent food! Very nice ambiance
Kalui Seafood Restaurant,Al Høknes,Nice atmosphere and quiet enough to be able to speak with the people at your table. Food is top notch. A must visit in PPC for sure.
Kalui Seafood Restaurant,Kukie Bohrs,"Quite distinctive Sea grapes, fish, and even pillars have surprises."
Kalui Seafood Restaurant,Sonny Dey,They actually serve the Ka Lui experience the quaint ambience! The foods serve are works of art. Vegetarian options: Lots of vegetarian options. Kid-friendliness: Safe for kids. Honey feeling.
Kalui Seafood Restaurant,Anjel Es,The service and food was the best!! Great job!
Kalui Seafood Restaurant,Arte Postal,"If you are doubting whether to go or not, my recommendation is that you go. The price-quality ratio is adequate, and the service and location are excellent. The food was delicious. We (two people) ordered: the Blue Martin menu, which comes with soup, rice, seaweed and tempura vegetables; Shrimps; and the Tubbataha salad. To drink, two beers and two mango shakes, all 1496 pesos. They also serve cold water and the restaurant had fans."
Kalui Seafood Restaurant,Alex Etxezarreta,"Really nice restaurant in Puerto Princesa, I could say the best one! Clean and calm space, with very tasty seafood. I would recomend it to anyone staying in Puerto Princesa."
Kalui Seafood Restaurant,Philip Telan,I tried out of curiosity based on reviews. The food was what was expected from the reviews The place felt homey as you have to get in and lounge around on bare foot. It was sparkling clean. Highly recommended!!!!
Kalui Seafood Restaurant,Kate Fan,"Very comfortable Filipino-style (?) space, the environment is beautiful, especially on rainy days. The service staff always listened to the needs with a smile and waited patiently for us to communicate in limited English. The seafood is very fresh, the seasoning is sweet but delicious. The juice of green mango + ginger is refreshing and goes well with seafood dishes. The clear soup after taking a seat is amazing, slightly sweet and gingery, which will not appear on the table of Taiwanese. The final dessert was too rich and sweet for us, but still tasty. Four cups of drinks, crabs, fresh fish, mixed vegetables, fruits, desserts, a total of 2,700 Philippine dollars. A happy dinner time that satisfies the taste and feels comfortable, is worth it!"
Kalui Seafood Restaurant,Wex C.,Location is very accessible. They are known for their seafood dishes which are really delicious as they only use fresh ingredients and fresh produce. Ambiance is very relaxed and family friendly (need to take off your footwear before you enter) so I suggest you wear slippers to lessen the burden of removing and wearing your shoes. Place could be busy most of the time so don't go there when you're really hungry. But it's worth the wait. Making a reservation before you visit is highly recommended. I only gave 4 stars because they don't have a parking space.
Kalui Seafood Restaurant,George Aumann,They serve seafood and it tasted really good.
Kalui Seafood Restaurant,Alex,The place itself looks very nice but the food was not very good and the cocktail also wasn't.
Kalui Seafood Restaurant,Naiana V,"Overrated! Ants on the table normal food, nothing beyond the basic and expected"
Kalui Seafood Restaurant,Avril Mari Alocillo,This is a restaurant you should not miss if youre visiting Puerto Princesa. They have perfected the seafood cuisine! Everything we ordered was meticulously prepared. Would definitely go back!
Ima's Vegetarian Restaurant,Prahlad Agarwal,"The food is pretty good for Palawan, but just a single lady running the show. Had to wait more than an hour for the food to arrive. Also portion size is smaller so order 2 portions per person. Food: 5 Service: 2 Atmosphere: 3"
Ima's Vegetarian Restaurant,Toshi Tanaka,"Great little vegan outlet. Elderly owners are very friendly and helpful. The food is great, good value, and a lot of healthy options. It used to be located over the block, this is a prettier setting. Food: 5 Service: 5 Atmosphere: 5"
Ima's Vegetarian Restaurant,Julie Turin (JulieSmile),super cabbage place in the middle of princesa stone town offering vegetarian food only! you eat surrounded by plants and the food is super good!
Ima's Vegetarian Restaurant,Linda Pizarro,"Very nice place and friendly staff! Many vegan/vegetarian options and delicious food! Service: Dine in Meal type: Lunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Tempeh Steak, Chimichanga, Broccoli and Tofu"
Ima's Vegetarian Restaurant,Der Huhu,"One of the best restaurants in Palawan, the owners are super nice the servings are not too small. If you are vegan remind them as you order! Vegetarian options: They can veganice nearly the whole menu! Service: Dine in Meal type: Lunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5"
Ima's Vegetarian Restaurant,Owais Ahmed,"Best non meat restaurant in town. . Very affordable. . . Very delicious. . . Service: Dine in Meal type: Dinner Price per person: ?400600 Food: 5 Service: 5 Atmosphere: 3 Recommended dishes: Tortillas with Guacamole, Chimichanga, Beans Burrito Large"
Ima's Vegetarian Restaurant,Caro Diaz,Super tasty vegan food! Service: Dine in Meal type: Dinner Food: 5 Service: 5 Atmosphere: 5
Ima's Vegetarian Restaurant,Hasse Hansson,Ima delivered very tasty food for a good price in her relaxing restaurant covered with plants from ground to roof. A must visit for every vegetarian :) We came back numerous times! Service: Dine in Meal type: Dinner Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5
Ima's Vegetarian Restaurant,Anna-Sara Isakson,Can't recommend this place enough! So many options and good prices. We ate here atleast once everyday during our stay in PP. Super cosy atmosphere and lovely owner :-) Food: 5 Service: 5 Atmosphere: 5
